incident_id,timestamp,type,x_m,y_m,lat,lon,severity,duration_minutes,affected_road_id
INC_00001,2024-01-01 21:13:00,traffic_accident,1362.85,3109.25,12.9770888,77.5828768,low,224,road_041
INC_00002,2024-01-01 02:45:00,construction,3877.86,2557.22,12.9721155,77.6088047,medium,182,road_037
INC_00003,2024-01-01 21:34:00,emergency_response,3974.53,275.86,12.9515627,77.6098013,high,177,road_009
INC_00004,2024-01-01 18:47:00,traffic_accident,525.3,1950.47,12.9666493,77.5742422,medium,85,road_044
INC_00005,2024-01-01 06:19:00,flooding,35.36,905.51,12.9572353,77.5691913,medium,156,road_032
INC_00006,2024-01-01 11:00:00,emergency_response,3404.73,277.7,12.9515793,77.6039271,critical,178,road_031
INC_00007,2024-01-02 16:54:00,flooding,3109.76,4957.99,12.9937441,77.6008862,medium,130,road_037
INC_00008,2024-01-02 03:02:00,construction,1297.07,865.09,12.9568711,77.5821986,high,99,road_023
INC_00009,2024-01-02 03:11:00,emergency_response,2318.3,659.7,12.9550207,77.5927268,medium,90,road_048
INC_00010,2024-01-02 18:30:00,flooding,2246.93,2420.33,12.9708823,77.5919911,low,234,road_029
INC_00011,2024-01-02 06:09:00,emergency_response,499.19,2455.52,12.9711992,77.5739731,low,121,road_034
INC_00012,2024-01-02 11:36:00,flooding,2328.94,1007.12,12.9581507,77.5928365,medium,62,road_048
INC_00013,2024-01-03 16:52:00,flooding,755.68,4846.89,12.9927432,77.5766173,high,93,road_005
INC_00014,2024-01-03 09:40:00,road_closure,497.43,3721.05,12.9826005,77.5739549,high,71,road_043
INC_00015,2024-01-03 11:20:00,flooding,3091.08,4510.27,12.9897105,77.6006936,medium,56,road_007
INC_00016,2024-01-03 10:47:00,construction,1645.78,2614.08,12.9726277,77.5857936,high,30,road_016
INC_00017,2024-01-03 14:08:00,emergency_response,4517.44,1982.2,12.9669351,77.6153984,medium,131,road_011
INC_00018,2024-01-04 20:41:00,construction,1665.65,3010.61,12.9762001,77.5859985,medium,16,road_001
INC_00019,2024-01-04 22:55:00,traffic_accident,3897.11,1670.91,12.9641307,77.6090032,low,50,road_027
INC_00020,2024-01-04 15:26:00,emergency_response,2890.79,1767.25,12.9649986,77.5986288,high,18,road_034
INC_00021,2024-01-04 10:30:00,flooding,976.15,220.86,12.9510672,77.5788902,medium,186,road_044
INC_00022,2024-01-04 13:24:00,emergency_response,1575.15,2136.7,12.9683271,77.5850655,high,239,road_012
INC_00023,2024-01-04 02:44:00,construction,81.38,4393.45,12.9886581,77.5696657,low,34,road_007
INC_00024,2024-01-05 10:09:00,emergency_response,2358.62,2339.34,12.9701527,77.5931425,high,51,road_027
INC_00025,2024-01-05 05:49:00,emergency_response,2537.99,3465.84,12.9803013,77.5949916,critical,84,road_027
INC_00026,2024-01-05 04:59:00,construction,776.05,3765.93,12.9830047,77.5768273,medium,158,road_017
INC_00027,2024-01-05 18:36:00,construction,2030.56,1290.52,12.9607038,77.5897604,medium,105,road_042
INC_00028,2024-01-05 03:58:00,traffic_accident,2863.87,793.96,12.9562302,77.5983512,critical,50,road_011
INC_00029,2024-01-05 05:11:00,road_closure,4891.99,3382.87,12.9795537,77.6192596,high,64,road_015
INC_00030,2024-01-06 11:44:00,emergency_response,390.33,4812.73,12.9924354,77.5728508,high,45,road_012
INC_00031,2024-01-06 20:01:00,emergency_response,3799.93,1448.32,12.9621254,77.6080013,high,238,road_040
