sensor_id,x_m,y_m,lat,lon,road_id,sensor_type
S0001,0,500,12.953582,77.5688268,road_001,volume
S0002,500,500,12.953582,77.5739814,road_001,occupancy
S0003,1000,500,12.953582,77.5791361,road_001,speed
S0004,1500,500,12.953582,77.5842907,road_001,volume
S0005,2000,500,12.953582,77.5894454,road_001,occupancy
S0006,2500,500,12.953582,77.5946,road_001,speed
S0007,3000,500,12.953582,77.5997546,road_001,volume
S0008,3500,500,12.953582,77.6049093,road_001,occupancy
S0009,4000,500,12.953582,77.6100639,road_001,speed
S0010,4500,500,12.953582,77.6152186,road_001,volume
S0011,5000,500,12.953582,77.6203732,road_001,occupancy
S0012,0,1000,12.9580865,77.5688268,road_002,speed
S0013,500,1000,12.9580865,77.5739814,road_002,volume
S0014,1000,1000,12.9580865,77.5791361,road_002,occupancy
S0015,1500,1000,12.9580865,77.5842907,road_002,speed
S0016,2000,1000,12.9580865,77.5894454,road_002,volume
S0017,2500,1000,12.9580865,77.5946,road_002,occupancy
S0018,3000,1000,12.9580865,77.5997546,road_002,speed
S0019,3500,1000,12.9580865,77.6049093,road_002,volume
S0020,4000,1000,12.9580865,77.6100639,road_002,occupancy
S0021,4500,1000,12.9580865,77.6152186,road_002,speed
S0022,5000,1000,12.9580865,77.6203732,road_002,volume
S0023,0,1500,12.962591,77.5688268,road_003,occupancy
S0024,500,1500,12.962591,77.5739814,road_003,speed
S0025,1000,1500,12.962591,77.5791361,road_003,volume
S0026,1500,1500,12.962591,77.5842907,road_003,occupancy
S0027,2000,1500,12.962591,77.5894454,road_003,speed
S0028,2500,1500,12.962591,77.5946,road_003,volume
S0029,3000,1500,12.962591,77.5997546,road_003,occupancy
S0030,3500,1500,12.962591,77.6049093,road_003,speed
S0031,4000,1500,12.962591,77.6100639,road_003,volume
S0032,4500,1500,12.962591,77.6152186,road_003,occupancy
S0033,5000,1500,12.962591,77.6203732,road_003,speed
S0034,0,2000,12.9670955,77.5688268,road_004,volume
S0035,500,2000,12.9670955,77.5739814,road_004,occupancy
S0036,1000,2000,12.9670955,77.5791361,road_004,speed
S0037,1500,2000,12.9670955,77.5842907,road_004,volume
S0038,2000,2000,12.9670955,77.5894454,road_004,occupancy
S0039,2500,2000,12.9670955,77.5946,road_004,speed
S0040,3000,2000,12.9670955,77.5997546,road_004,volume
S0041,3500,2000,12.9670955,77.6049093,road_004,occupancy
S0042,4000,2000,12.9670955,77.6100639,road_004,speed
S0043,4500,2000,12.9670955,77.6152186,road_004,volume
S0044,5000,2000,12.9670955,77.6203732,road_004,occupancy
S0045,0,2500,12.9716,77.5688268,road_005,speed
S0046,500,2500,12.9716,77.5739814,road_005,volume
S0047,1000,2500,12.9716,77.5791361,road_005,occupancy
S0048,1500,2500,12.9716,77.5842907,road_005,speed
S0049,2000,2500,12.9716,77.5894454,road_005,volume
S0050,2500,2500,12.9716,77.5946,road_005,occupancy
S0051,3000,2500,12.9716,77.5997546,road_005,speed
S0052,3500,2500,12.9716,77.6049093,road_005,volume
S0053,4000,2500,12.9716,77.6100639,road_005,occupancy
S0054,4500,2500,12.9716,77.6152186,road_005,speed
S0055,5000,2500,12.9716,77.6203732,road_005,volume
S0056,0,3000,12.9761045,77.5688268,road_006,occupancy
S0057,500,3000,12.9761045,77.5739814,road_006,speed
S0058,1000,3000,12.9761045,77.5791361,road_006,volume
S0059,1500,3000,12.9761045,77.5842907,road_006,occupancy
S0060,2000,3000,12.9761045,77.5894454,road_006,speed
S0061,2500,3000,12.9761045,77.5946,road_006,volume
S0062,3000,3000,12.9761045,77.5997546,road_006,occupancy
S0063,3500,3000,12.9761045,77.6049093,road_006,speed
S0064,4000,3000,12.9761045,77.6100639,road_006,volume
S0065,4500,3000,12.9761045,77.6152186,road_006,occupancy
S0066,5000,3000,12.9761045,77.6203732,road_006,speed
S0067,0,3500,12.980609,77.5688268,road_007,volume
S0068,500,3500,12.980609,77.5739814,road_007,occupancy
S0069,1000,3500,12.980609,77.5791361,road_007,speed
S0070,1500,3500,12.980609,77.5842907,road_007,volume
S0071,2000,3500,12.980609,77.5894454,road_007,occupancy
S0072,2500,3500,12.980609,77.5946,road_007,speed
S0073,3000,3500,12.980609,77.5997546,road_007,volume
S0074,3500,3500,12.980609,77.6049093,road_007,occupancy
S0075,4000,3500,12.980609,77.6100639,road_007,speed
S0076,4500,3500,12.980609,77.6152186,road_007,volume
S0077,5000,3500,12.980609,77.6203732,road_007,occupancy
S0078,0,4000,12.9851135,77.5688268,road_008,speed
S0079,500,4000,12.9851135,77.5739814,road_008,volume
S0080,1000,4000,12.9851135,77.5791361,road_008,occupancy
S0081,1500,4000,12.9851135,77.5842907,road_008,speed
S0082,2000,4000,12.9851135,77.5894454,road_008,volume
S0083,2500,4000,12.9851135,77.5946,road_008,occupancy
S0084,3000,4000,12.9851135,77.5997546,road_008,speed
S0085,3500,4000,12.9851135,77.6049093,road_008,volume
S0086,4000,4000,12.9851135,77.6100639,road_008,occupancy
S0087,4500,4000,12.9851135,77.6152186,road_008,speed
S0088,5000,4000,12.9851135,77.6203732,road_008,volume
S0089,0,4500,12.989618,77.5688268,road_009,occupancy
S0090,500,4500,12.989618,77.5739814,road_009,speed
S0091,1000,4500,12.989618,77.5791361,road_009,volume
S0092,1500,4500,12.989618,77.5842907,road_009,occupancy
S0093,2000,4500,12.989618,77.5894454,road_009,speed
S0094,2500,4500,12.989618,77.5946,road_009,volume
S0095,3000,4500,12.989618,77.5997546,road_009,occupancy
S0096,3500,4500,12.989618,77.6049093,road_009,speed
S0097,4000,4500,12.989618,77.6100639,road_009,volume
S0098,4500,4500,12.989618,77.6152186,road_009,occupancy
S0099,5000,4500,12.989618,77.6203732,road_009,speed
S0100,0,5000,12.9941225,77.5688268,road_010,volume
