event_id,city,event_name,event_type,start_datetime,end_datetime,expected_attendance
1,city_5,Startup Expo,conference,2024-03-20 14:00:00,2024-03-20 21:00:00,1144
2,city_35,City Derby,sports_game,2024-04-05 19:00:00,2024-04-06 01:00:00,47580
3,city_36,Startup Expo,conference,2024-01-24 18:00:00,2024-01-24 22:00:00,4253
4,city_19,Symphony Gala,concert,2024-05-22 16:00:00,2024-05-22 20:00:00,33797
5,city_28,Cultural Festival,festival,2024-02-11 10:00:00,2024-02-11 15:00:00,22534
6,city_4,Charity Run,marathon,2024-02-20 16:00:00,2024-02-20 18:00:00,9339
7,city_36,City Derby,sports_game,2024-06-25 14:00:00,2024-06-25 21:00:00,43252
8,city_39,Tech Summit,conference,2024-03-07 14:00:00,2024-03-07 18:00:00,828
9,city_28,Pop Extravaganza,concert,2024-05-04 19:00:00,2024-05-05 01:00:00,17832
10,city_49,Cultural Festival,festival,2024-06-13 13:00:00,2024-06-13 15:00:00,13330
11,city_40,Jazz Fest,concert,2024-01-24 16:00:00,2024-01-24 20:00:00,16557
12,city_12,Night Market,festival,2024-06-20 14:00:00,2024-06-20 16:00:00,21319
13,city_32,Tech Summit,conference,2024-02-26 17:00:00,2024-02-26 23:00:00,3764
14,city_41,Half Marathon,marathon,2024-06-12 12:00:00,2024-06-12 15:00:00,8508
15,city_32,Symphony Gala,concert,2024-02-06 18:00:00,2024-02-06 20:00:00,32890
16,city_40,Startup Expo,conference,2024-03-26 17:00:00,2024-03-26 20:00:00,6356
17,city_28,Night Market,festival,2024-04-13 10:00:00,2024-04-13 12:00:00,8400
18,city_6,Night Market,festival,2024-04-29 14:00:00,2024-04-29 21:00:00,15435
19,city_4,Startup Expo,conference,2024-04-25 15:00:00,2024-04-25 20:00:00,1179
20,city_28,Business Forum,conference,2024-04-19 10:00:00,2024-04-19 14:00:00,3775
21,city_50,Championship Final,sports_game,2024-03-15 19:00:00,2024-03-16 02:00:00,9804
22,city_12,City Marathon,marathon,2024-06-04 12:00:00,2024-06-04 19:00:00,4229
23,city_22,Tech Summit,conference,2024-04-11 15:00:00,2024-04-11 21:00:00,7971
24,city_34,Cultural Festival,festival,2024-03-17 18:00:00,2024-03-17 21:00:00,6673
25,city_17,Rock Night,concert,2024-01-17 17:00:00,2024-01-17 23:00:00,29387
26,city_24,Tech Summit,conference,2024-06-12 15:00:00,2024-06-12 22:00:00,1642
27,city_25,Business Forum,conference,2024-03-22 11:00:00,2024-03-22 15:00:00,2290
28,city_16,Startup Expo,conference,2024-04-20 13:00:00,2024-04-20 20:00:00,1157
29,city_18,Jazz Fest,concert,2024-06-24 13:00:00,2024-06-24 20:00:00,22327
30,city_35,Cultural Festival,festival,2024-05-19 19:00:00,2024-05-19 22:00:00,20133
31,city_14,Innovation Conf,conference,2024-03-22 17:00:00,2024-03-22 20:00:00,1094
32,city_5,Beer Fest,festival,2024-01-24 14:00:00,2024-01-24 20:00:00,7452
33,city_37,Playoffs Night,sports_game,2024-04-15 15:00:00,2024-04-15 18:00:00,32087
34,city_43,Symphony Gala,concert,2024-03-30 17:00:00,2024-03-30 22:00:00,20123
35,city_16,Tech Summit,conference,2024-04-16 10:00:00,2024-04-16 15:00:00,5216
36,city_5,Business Forum,conference,2024-05-23 10:00:00,2024-05-23 13:00:00,4205
37,city_10,League Match,sports_game,2024-01-27 16:00:00,2024-01-27 18:00:00,17109
38,city_30,Tech Summit,conference,2024-02-24 19:00:00,2024-02-25 02:00:00,4858
39,city_23,League Match,sports_game,2024-04-17 12:00:00,2024-04-17 14:00:00,15878
40,city_48,Cultural Festival,festival,2024-03-26 17:00:00,2024-03-26 19:00:00,4820
41,city_14,Night Market,festival,2024-03-30 14:00:00,2024-03-30 21:00:00,6542
42,city_29,Cultural Festival,festival,2024-05-26 12:00:00,2024-05-26 19:00:00,10294
43,city_28,Beer Fest,festival,2024-03-20 12:00:00,2024-03-20 14:00:00,11001
44,city_42,Symphony Gala,concert,2024-04-08 11:00:00,2024-04-08 14:00:00,24391
45,city_16,Pop Extravaganza,concert,2024-05-02 11:00:00,2024-05-02 14:00:00,13535
46,city_33,Startup Expo,conference,2024-06-19 17:00:00,2024-06-19 20:00:00,1308
47,city_31,Charity Run,marathon,2024-02-11 12:00:00,2024-02-11 14:00:00,2554
48,city_28,Cultural Festival,festival,2024-02-26 18:00:00,2024-02-26 22:00:00,20782
49,city_49,City Derby,sports_game,2024-06-22 16:00:00,2024-06-22 19:00:00,40337
50,city_26,Half Marathon,marathon,2024-06-29 19:00:00,2024-06-29 22:00:00,2810
51,city_27,Jazz Fest,concert,2024-03-20 19:00:00,2024-03-21 02:00:00,10304
52,city_45,Pop Extravaganza,concert,2024-06-02 18:00:00,2024-06-02 21:00:00,36271
53,city_6,Cultural Festival,festival,2024-02-27 10:00:00,2024-02-27 16:00:00,10383
54,city_34,Cultural Festival,festival,2024-06-10 10:00:00,2024-06-10 16:00:00,19430
55,city_19,City Derby,sports_game,2024-06-19 19:00:00,2024-06-19 22:00:00,9659
