component_id,current_stock_units,weeks_of_supply,reorder_point,safety_stock_units,last_replenishment_date
COMP-0001,17765,21.6,6154,3455,2024-06-17
COMP-0002,40855,9.7,9110,2006,2024-05-22
COMP-0003,23190,23.4,8955,1785,2024-05-13
COMP-0004,5317,4.9,2840,4804,2024-06-05
COMP-0005,8075,8.8,7828,1034,2024-04-28
COMP-0006,42159,12.7,2032,3470,2024-05-29
COMP-0007,26148,15.0,5086,2861,2024-04-01
COMP-0008,25500,18.2,9009,4514,2024-06-16
COMP-0009,28352,23.3,9199,2128,2024-04-11
COMP-0010,31442,4.9,4842,1479,2024-04-23
COMP-0011,23402,9.3,3946,4046,2024-05-25
COMP-0012,23608,9.0,5635,412,2024-04-28
COMP-0013,28001,13.5,6513,4746,2024-06-25
COMP-0014,4615,11.0,9372,2726,2024-05-20
COMP-0015,49856,9.8,4615,1937,2024-04-30
COMP-0016,19955,22.8,237,1866,2024-06-20
COMP-0017,46958,16.5,9998,3787,2024-06-24
COMP-0018,14834,8.9,5668,57,2024-04-05
COMP-0019,30723,13.4,7579,2250,2024-05-22
COMP-0020,33534,17.5,9960,109,2024-05-14
COMP-0021,47788,8.8,4040,996,2024-04-27
COMP-0022,15675,22.1,5920,4694,2024-05-11
COMP-0023,2517,12.7,5865,2845,2024-04-22
COMP-0024,21950,22.2,4208,2466,2024-05-31
COMP-0025,29837,23.3,6957,3927,2024-04-21
COMP-0026,22466,18.5,3492,2616,2024-06-11
COMP-0027,738,20.7,675,3960,2024-04-18
COMP-0028,35453,24.7,327,4257,2024-05-20
COMP-0029,10734,20.6,9063,4829,2024-04-09
COMP-0030,26055,25.3,8351,1834,2024-05-04
COMP-0031,40858,10.4,2350,1832,2024-04-23
COMP-0032,46793,24.2,1654,2994,2024-06-11
COMP-0033,30180,12.8,8773,3087,2024-04-15
COMP-0034,28229,11.3,9588,2463,2024-04-28
COMP-0035,3533,20.9,2344,4122,2024-04-17
COMP-0036,5267,1.1,3023,1326,2024-05-22
