supplier_id,supplier_name,country,financial_stability_score,geopolitical_risk_score,natural_disaster_risk,single_customer_dependency_pct,quality_score,on_time_delivery_pct,risk_tier
supplier_001,GlobalParts CHI-001,China,66,52,54,53.1,75,95,Medium
supplier_002,PrecisionCo JAP-002,Japan,94,11,66,57.2,81,72,Medium
supplier_003,UniComp SOU-003,South Korea,95,45,38,37.1,79,89,Medium
supplier_004,EliteMfg TAI-004,Taiwan,58,66,63,31.7,87,87,High
supplier_005,CoreTech TAI-005,Taiwan,55,89,56,18.0,73,100,High
supplier_006,PrimeParts USA-006,USA,98,15,18,59.4,80,86,Low
supplier_007,NexGen CHI-007,China,81,84,53,35.1,71,90,High
supplier_008,ApexManuf SOU-008,South Korea,62,49,43,40.0,89,69,Medium
supplier_009,StarComp CHI-009,China,54,72,40,44.9,75,98,High
supplier_010,TechMfg CHI-010,China,72,85,58,43.4,81,92,High
supplier_011,GlobalParts TAI-011,Taiwan,87,78,53,59.6,76,61,High
supplier_012,PrecisionCo MEX-012,Mexico,96,55,53,14.9,92,73,Medium
supplier_013,UniComp JAP-013,Japan,54,22,76,57.2,94,95,Medium
supplier_014,EliteMfg JAP-014,Japan,70,40,68,32.4,71,76,Medium
supplier_015,CoreTech JAP-015,Japan,60,20,70,50.5,100,67,Medium
supplier_016,PrimeParts JAP-016,Japan,50,22,82,47.7,71,92,Medium
supplier_017,NexGen TAI-017,Taiwan,84,79,61,47.0,77,82,High
supplier_018,ApexManuf CHI-018,China,62,84,57,58.9,96,89,High
supplier_019,StarComp USA-019,USA,62,30,29,32.4,83,91,Medium
supplier_020,TechMfg TAI-020,Taiwan,74,79,67,6.0,86,96,High
supplier_021,GlobalParts TAI-021,Taiwan,74,75,66,59.3,99,79,High
supplier_022,PrecisionCo CHI-022,China,84,77,58,33.6,70,75,High
supplier_023,UniComp CHI-023,China,95,76,66,24.9,75,89,Medium
supplier_024,EliteMfg GER-024,Germany,70,3,13,6.5,74,81,Low
supplier_025,CoreTech JAP-025,Japan,67,51,56,28.4,76,78,Medium
supplier_026,PrimeParts SOU-026,South Korea,65,51,47,40.5,93,97,Medium
supplier_027,NexGen TAI-027,Taiwan,82,74,74,15.2,70,69,High
supplier_028,ApexManuf USA-028,USA,39,20,27,18.7,92,86,Medium
supplier_029,StarComp TAI-029,Taiwan,90,83,59,28.3,88,79,High
supplier_030,TechMfg TAI-030,Taiwan,48,81,59,45.9,75,100,High
supplier_031,GlobalParts TAI-031,Taiwan,38,81,84,45.6,78,80,High
supplier_032,PrecisionCo CHI-032,China,59,77,42,33.8,86,82,High
supplier_033,UniComp CHI-033,China,54,85,62,56.7,64,75,High
supplier_034,EliteMfg TAI-034,Taiwan,78,82,77,21.0,68,94,High
supplier_035,CoreTech GER-035,Germany,61,16,0,21.6,92,77,Low
supplier_036,PrimeParts CHI-036,China,82,51,49,19.6,100,73,Medium
supplier_037,NexGen USA-037,USA,80,30,17,20.5,81,70,Medium
supplier_038,ApexManuf USA-038,USA,63,32,30,46.8,81,90,Medium
supplier_039,StarComp CHI-039,China,81,69,70,24.0,88,76,High
supplier_040,TechMfg SOU-040,South Korea,54,41,40,18.4,85,97,Medium
supplier_041,GlobalParts CHI-041,China,78,68,47,49.0,78,89,Medium
supplier_042,PrecisionCo JAP-042,Japan,79,40,63,54.3,75,84,Medium
supplier_043,UniComp JAP-043,Japan,82,39,88,26.5,78,82,Medium
supplier_044,EliteMfg CHI-044,China,43,88,51,6.8,88,72,High
supplier_045,CoreTech CHI-045,China,56,90,57,50.0,78,95,High
supplier_046,PrimeParts MEX-046,Mexico,84,35,76,23.4,78,73,Medium
supplier_047,NexGen TAI-047,Taiwan,85,84,55,33.7,100,85,Medium
supplier_048,ApexManuf GER-048,Germany,58,4,32,52.9,96,87,Low
supplier_049,StarComp SOU-049,South Korea,88,36,41,6.3,96,88,Medium
supplier_050,TechMfg JAP-050,Japan,60,30,58,18.5,89,81,Medium
supplier_051,GlobalParts JAP-051,Japan,66,38,88,44.1,100,90,Medium
supplier_052,PrecisionCo CHI-052,China,74,77,42,28.5,50,79,High
supplier_053,UniComp CHI-053,China,70,67,50,44.4,93,78,Medium
supplier_054,EliteMfg TAI-054,Taiwan,62,67,77,54.3,56,86,High
supplier_055,CoreTech TAI-055,Taiwan,76,89,69,26.4,100,85,High
supplier_056,PrimeParts CHI-056,China,80,69,61,31.1,74,72,High
supplier_057,NexGen TAI-057,Taiwan,60,92,63,30.4,98,84,High
supplier_058,ApexManuf CHI-058,China,84,80,56,55.8,100,78,Medium
supplier_059,StarComp JAP-059,Japan,55,19,84,17.0,73,63,Medium
supplier_060,TechMfg SOU-060,South Korea,59,50,39,33.2,73,95,Medium
supplier_061,GlobalParts GER-061,Germany,75,20,16,55.2,85,75,Medium
supplier_062,PrecisionCo JAP-062,Japan,75,37,86,34.2,68,76,Medium
supplier_063,UniComp CHI-063,China,63,76,53,44.1,66,64,High
supplier_064,EliteMfg MAL-064,Malaysia,23,38,73,44.3,68,86,High
supplier_065,CoreTech TAI-065,Taiwan,48,66,58,47.0,77,87,High
supplier_066,PrimeParts CHI-066,China,79,71,55,58.3,63,70,High
supplier_067,NexGen GER-067,Germany,79,11,0,53.6,65,100,Low
supplier_068,ApexManuf CHI-068,China,61,81,65,36.4,80,90,High
supplier_069,StarComp CHI-069,China,71,78,41,56.4,74,88,High
supplier_070,TechMfg TAI-070,Taiwan,83,86,73,50.5,88,99,High
supplier_071,GlobalParts JAP-071,Japan,69,31,84,34.2,63,89,Medium
supplier_072,PrecisionCo CHI-072,China,66,62,60,51.6,60,95,High
supplier_073,UniComp TAI-073,Taiwan,31,75,88,49.3,81,92,High
supplier_074,EliteMfg CHI-074,China,44,75,55,25.1,65,81,High
supplier_075,CoreTech SOU-075,South Korea,56,34,51,19.1,73,79,Medium
supplier_076,PrimeParts TAI-076,Taiwan,61,75,57,20.5,75,77,High
supplier_077,NexGen CHI-077,China,72,77,49,26.3,100,100,Medium
supplier_078,ApexManuf CHI-078,China,54,65,44,22.3,75,87,High
supplier_079,StarComp TAI-079,Taiwan,99,79,77,42.8,72,95,High
supplier_080,TechMfg SOU-080,South Korea,57,58,34,37.5,66,75,High
supplier_081,GlobalParts VIE-081,Vietnam,63,30,62,25.6,87,92,Medium
supplier_082,PrecisionCo TAI-082,Taiwan,76,72,65,28.8,97,76,High
supplier_083,UniComp CHI-083,China,59,63,40,14.5,82,97,Medium
supplier_084,EliteMfg USA-084,USA,85,43,24,33.6,64,91,Medium
supplier_085,CoreTech SOU-085,South Korea,71,51,28,29.4,82,86,Medium
supplier_086,PrimeParts JAP-086,Japan,59,41,95,57.5,88,56,High
supplier_087,NexGen CHI-087,China,80,56,49,18.2,77,93,Medium
supplier_088,ApexManuf CHI-088,China,42,71,49,52.4,85,73,High
supplier_089,StarComp JAP-089,Japan,62,45,82,44.4,76,82,High
supplier_090,TechMfg USA-090,USA,61,2,18,11.0,75,83,Low
supplier_091,GlobalParts TAI-091,Taiwan,72,100,70,16.0,72,82,High
supplier_092,PrecisionCo USA-092,USA,70,12,22,15.4,70,85,Medium
supplier_093,UniComp USA-093,USA,80,11,35,5.5,78,64,Medium
supplier_094,EliteMfg CHI-094,China,64,78,72,49.3,93,72,High
supplier_095,CoreTech GER-095,Germany,68,27,6,55.6,88,87,Medium
supplier_096,PrimeParts CHI-096,China,65,65,72,8.6,84,80,High
supplier_097,NexGen CHI-097,China,70,76,58,11.5,70,70,High
supplier_098,ApexManuf SOU-098,South Korea,71,27,36,14.6,85,100,Medium
supplier_099,StarComp SOU-099,South Korea,40,67,37,14.8,63,94,High
supplier_100,TechMfg CHI-100,China,70,74,35,12.1,90,82,Medium
supplier_101,GlobalParts USA-101,USA,87,31,18,10.0,80,85,Medium
supplier_102,PrecisionCo CHI-102,China,71,75,28,40.7,63,100,Medium
supplier_103,UniComp USA-103,USA,93,28,22,44.5,72,100,Low
supplier_104,EliteMfg CHI-104,China,59,51,65,50.4,99,95,Medium
supplier_105,CoreTech JAP-105,Japan,88,30,54,12.5,87,83,Medium
supplier_106,PrimeParts JAP-106,Japan,67,20,64,18.0,100,84,Medium
supplier_107,NexGen JAP-107,Japan,74,20,81,18.2,61,89,Medium
supplier_108,ApexManuf SOU-108,South Korea,78,50,56,31.8,77,91,Medium
supplier_109,StarComp TAI-109,Taiwan,71,73,72,8.4,82,76,High
supplier_110,TechMfg JAP-110,Japan,63,25,66,22.5,85,94,Medium
supplier_111,GlobalParts CHI-111,China,57,69,70,12.4,80,83,High
supplier_112,PrecisionCo JAP-112,Japan,86,41,86,32.6,69,100,Medium
supplier_113,UniComp TAI-113,Taiwan,82,75,84,28.9,96,99,High
supplier_114,EliteMfg TAI-114,Taiwan,56,85,77,31.9,71,99,High
supplier_115,CoreTech TAI-115,Taiwan,70,67,68,32.5,67,88,High
supplier_116,PrimeParts TAI-116,Taiwan,84,82,64,19.3,79,87,High
supplier_117,NexGen CHI-117,China,86,77,40,35.8,81,96,Medium
supplier_118,ApexManuf CHI-118,China,89,92,56,43.1,62,89,High
supplier_119,StarComp CHI-119,China,53,74,85,13.2,69,89,High
supplier_120,TechMfg CHI-120,China,62,65,76,38.4,84,81,High
supplier_121,GlobalParts TAI-121,Taiwan,65,95,73,18.4,100,86,High
supplier_122,PrecisionCo SOU-122,South Korea,75,55,44,22.9,74,72,Medium
supplier_123,UniComp SOU-123,South Korea,74,59,33,28.4,94,80,Medium
supplier_124,EliteMfg TAI-124,Taiwan,63,76,69,30.4,73,87,High
supplier_125,CoreTech USA-125,USA,73,31,43,50.4,90,83,Medium
supplier_126,PrimeParts TAI-126,Taiwan,60,80,75,14.4,87,83,High
supplier_127,NexGen CHI-127,China,81,87,63,12.1,69,76,High
supplier_128,ApexManuf JAP-128,Japan,59,32,80,37.8,73,87,Medium
supplier_129,StarComp TAI-129,Taiwan,56,84,66,23.4,80,88,High
supplier_130,TechMfg SOU-130,South Korea,57,42,44,23.5,60,69,High
