year,revenue_usd_m,revenue_growth_pct,ebitda_margin_pct,ebitda_usd_m,d_and_a_usd_m,ebit_usd_m,tax_rate_pct,nopat_usd_m,capex_usd_m,change_in_nwc_usd_m,unlevered_fcf_usd_m,discount_factor,pv_fcf_usd_m,notes
2025,320.0,60.0,-15.0,-48.0,19.2,-67.2,21.0,-53.1,16.0,6.4,-56.3,0.892857,-50.3,"Year 1: Revenue growth 60%, EBITDA margin -15%, WACC=12%"
2026,480.0,50.0,-5.0,-24.0,28.8,-52.8,21.0,-41.7,24.0,9.6,-46.5,0.797194,-37.1,"Year 2: Revenue growth 50%, EBITDA margin -5%, WACC=12%"
2027,672.0,40.0,5.0,33.6,40.3,-6.7,21.0,-5.3,33.6,13.4,-12.0,0.71178,-8.5,"Year 3: Revenue growth 40%, EBITDA margin 5%, WACC=12%"
2028,907.2,35.0,12.0,108.9,54.4,54.5,21.0,43.1,45.4,18.1,34.0,0.635518,21.6,"Year 4: Revenue growth 35%, EBITDA margin 12%, WACC=12%"
2029,1179.4,30.0,18.0,212.3,70.8,141.5,21.0,111.8,59.0,23.6,100.0,0.567427,56.7,"Year 5: Revenue growth 30%, EBITDA margin 18%, WACC=12%"
2030,1474.2,25.0,22.0,324.3,88.5,235.8,21.0,186.3,73.7,29.5,171.6,0.506631,86.9,"Year 6: Revenue growth 25%, EBITDA margin 22%, WACC=12%"
2031,1798.5,22.0,25.0,449.6,107.9,341.7,21.0,269.9,89.9,36.0,251.9,0.452349,113.9,"Year 7: Revenue growth 22%, EBITDA margin 25%, WACC=12%"
2032,2158.2,20.0,27.0,582.7,129.5,453.2,21.0,358.0,107.9,43.2,336.4,0.403883,135.9,"Year 8: Revenue growth 20%, EBITDA margin 27%, WACC=12%"
2033,2546.7,18.0,28.0,713.1,152.8,560.3,21.0,442.6,127.3,50.9,417.2,0.36061,150.4,"Year 9: Revenue growth 18%, EBITDA margin 28%, WACC=12%"
2034,2928.7,15.0,29.0,849.3,175.7,673.6,21.0,532.1,146.4,58.6,502.8,0.321973,161.9,"Year 10: Revenue growth 15%, EBITDA margin 29%, WACC=12%"
2035,3368.0,15.0,30.0,1010.4,202.1,808.3,21.0,638.6,168.4,67.4,604.9,0.287476,173.9,"Year 11: Revenue growth 15%, EBITDA margin 30%, WACC=12%"
Terminal Value,,,,,,,,,,,822.1460000000001,0.287476,2626.1,"Gordon Growth Model: TV = UFCF*(1+g)/(WACC-g), g=3%, WACC=12%"
